id,title,caption,attribution,attribution_confidence,caption_source,date_start,date_end,decade,curated,selected_default,classification,recommended_print,master_file_id,rights_status,research_status,evidence_urls
img_4e8d4526096e0dd7,"Fifth Street & Egan Avenue, Beaumont, 1890s","Fifth & Egan — the San Gorgonio Mercantile Co., the post office (far left) and a pool hall, 1890s.","Beaumont Library District, via Calisphere (CBEA_146, ark:/13030/c8h70f56); rights: Copyrighted — Laura May Stewart Trust",confirmed,"Calisphere Beaumont Library District collection (CBEA_146, matched 2026-07-20)",1890,1899,1890,True,True,Reference Only,4.5 × 3.2 in at 100 PPI,file_1afe8689e66cecfb,Copyrighted,Researched,https://calisphere.org/item/ark:/13030/c8h70f56/; https://www.mybld.org/local-history; https://archive.org/details/historyriversid00unkngoog; https://www.mybld.org/local-history
img_477fd73b5434521f,John J. McCoy Lumber Yard,"Entrance to John J. McCoy's lumberyard in Beaumont, its picket fence and ""LUMBER-YARD"" sign shaded by pepper trees. McCoy, a builder, was Beaumont's first mayor, c. 1890-1910.","Beaumont Library District Local History Collection, via Calisphere (CBEA_159)",confirmed,"Calisphere Beaumont Library District collection (CBEA_159), matched 2026-07-21 by direct image comparison",1890,1910,1890,False,False,Reference Only,4.5 × 3.1 in at 100 PPI,file_e8eae5f89cf755e3,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8td9wp7/
img_e223c8fe27b85e0d,"Reznor Perry Stewart, studio portrait","Reznor Perry Stewart, who homesteaded at Beaumont in 1883 and built a 2,200-acre grain and hay ranch; studio portrait, c. 1890–1910.","Stewart family photographs, Beaumont Library District (Laura May Stewart Trust)",probable,Deep research 2026-07-21 (BLD local history + Holmes 1912),1890,1910,1890,False,False,Potentially Usable,11.2 × 16.4 in at 100 PPI,file_0ba8eb9ab1750422,Permission required,Researched,https://www.mybld.org/local-history; https://archive.org/details/historyriversid00unkngoog; https://www.facebook.com/photo/?fbid=1045272167809302; https://calisphere.org/item/ark:/13030/c8dn44db/; https://calisphere.org/item/ark:/13030/c87p8xrn/
img_b08de96dbf496fab,The Beaumont Hotel (later Hotel Edinburgh),"The Beaumont Hotel, built 1887 — later the Hotel Edinburgh; burned August 1909.","Beaumont Library District, via Calisphere (CBEA_009, ark:/13030/c81v5d9b); photograph by C. C. Pierce & Co., Los Angeles",confirmed,Calisphere Beaumont Library District collection (CBEA_009),1890,1900,1890,False,False,Reference Only,9.2 × 7.2 in at 100 PPI,file_2e767759fde926ac,Unclear,Researched,https://calisphere.org/item/ark:/13030/c81v5d9b/; https://archive.org/details/historyriversid00unkngoog; https://www.mybld.org/local-history; https://patch.com/california/banning-beaumont/long-lost-beaumont-hotel-a-legacy-for-fire-protection; https://calisphere.org/item/ark:/13030/c8b56j3k/
img_3f09693198e8de04,"The Summit House, Beaumont","A crowd fills the porch front of the Summit House, Beaumont's first hotel (opened 1884 as the Beatty House, burned 1925), beneath a Beaumont Land and Water Company banner, c. 1890s","Banning Library District Local History Collection, via Calisphere (CBAN_098)",confirmed,"Calisphere Banning Library District collection (CBAN_098), matched 2026-07-21 by direct image comparison",1890,1899,1890,False,False,Reference Only,4.5 × 3 in at 100 PPI,file_3017aa80d1cfd66f,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8m043d7/; https://calisphere.org/item/ark:/13030/c8pk0fhp/
img_9a09c6788b0dddf1,"A Well, a Girl and Cattle at the Bliss Ranch, South of Beaumont","A girl and cattle at a 'never failing' well on the Bliss Ranch, a half-mile south of Beaumont, on a Beaumont Land and Water Company promotional album page; Calisphere gives no date, c. 1895-1915.","Beaumont Library District Local History Collection, via Calisphere (CBEA_055)",confirmed,"Calisphere Beaumont Library District collection (CBEA_055), matched 2026-07-21 by direct image comparison",1895,1915,1890,False,False,Reference Only,4.5 × 3.6 in at 100 PPI,file_07f89426b311c2c6,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8cz36hx/
img_6278e20aa65dd6a8,Beaumont Land & Water Company Pumping Plant #1,"A drilling derrick towers over the Beaumont Land & Water Company's Pumping Plant No. 1, with workmen and a saddled horse on the canyon road; the print bears the company's stamp, c. 1895-1910","Beaumont Library District Local History Collection, via Calisphere (CBEA_157)",confirmed,"Calisphere Beaumont Library District collection (CBEA_157), matched 2026-07-21 by direct image comparison",1895,1910,1890,False,False,Reference Only,4.5 × 3.2 in at 100 PPI,file_4e8cb17b9375d119,Unclear,Researched,https://calisphere.org/item/ark:/13030/c82z14wg/
img_45720d2a6586237d,"Traditional house (kish), Morongo Reservation","A summer house (kish) on the Morongo Reservation, c. 1900.","Banning Library District, via Calisphere (CBAN_093, ark:/13030/c8fb5109); contributor C. O. Barker",confirmed,"Calisphere Banning Library District collection (CBAN_093, matched 2026-07-20)",1895,1905,1890,True,True,Reference Only,4.5 × 3 in at 100 PPI,file_d4cbc371f3177146,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8fb5109/; https://sacred-texts.com/nam/ca/eci/eci09.htm; https://www.aguacaliente.org/documents/OurStory-20.pdf; https://calisphere.org/item/ark:/13030/c83x84nz/; https://calisphere.org/item/ark:/13030/c88g8hp1/
img_83b4208d7a588795,"Flowing Well, Beaumont","Beaumont citizens crowd around a flowing well as water pours into the flume; the print is hand-lettered ""Flowing Well Beaumont Cal."", c. 1900-1912.","Beaumont Library District Local History Collection, via Calisphere (CBEA_063)",confirmed,"Calisphere Beaumont Library District collection (CBEA_063), matched 2026-07-21 by direct image comparison",1900,1912,1900,False,False,Reference Only,2.8 × 4.5 in at 100 PPI,file_1d58df53c7349e36,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8765dpk/
img_a3f413e8c9ed23bb,H. L. Priest and his fruit tree,H. L. Priest beside a young fruit tree 'in the early days'.,"Beaumont Library District, via Calisphere (CBEA_064, ark:/13030/c83f4nzv)",confirmed,Calisphere Beaumont Library District collection (CBEA_064),1900,1919,1900,True,True,Reference Only,3.3 × 4.5 in at 100 PPI,file_348736affdb526d1,Unclear,Researched,https://calisphere.org/item/ark:/13030/c83f4nzv/; https://www.mybld.org/local-history; https://calisphere.org/item/ark:/13030/c8r49q35/
img_2846f7be40e9aff6,"Horse-drawn combine harvester at work, Stewart Ranch, Beaumont area","A two-dozen-horse team pulls a combined harvester through standing grain on the Stewart Ranch near Beaumont, c. 1900–1930. Stewart family collection.","Stewart family collection, via Beaumont Library District",probable,Deep research 2026-07-21 (Calisphere BLD Stewart Ranch records; Holmes 1912),1900,1930,1900,False,False,Production Ready,26.7 × 16.9 in at 100 PPI,file_6db26e5fb33d90bf,Permission required,Researched,https://calisphere.org/item/ark:/13030/c8fq9vz3/; https://calisphere.org/item/ark:/13030/c8nc60jn/; https://archive.org/details/historyriversid00unkngoog; https://www.mybld.org/local-history
img_68556e4afecfa748,Clara and Laura May Stewart as young women (newspaper clipping of a c. 1902-1910 studio portrait),"Sisters Clara (seated) and Laura May Stewart (1884-1974) of Stewart Ranch, Beaumont, in a studio portrait c. 1902-1910 — newspaper clipping captioned 'Clara And Laura as young women.'","Stewart family collection, via an unidentified newspaper clipping",probable,Deep research 2026-07-21 (Find a Grave Stewart Sunnyslope memorials + Calisphere Stewart items),1902,1910,1900,False,False,Production Ready,27.2 × 36.3 in at 100 PPI,file_1fbe1465cbb9629b,Permission required,Researched,https://www.findagrave.com/memorial/72930222/laura-may-stewart; https://www.findagrave.com/memorial/17589624/reznor-perry-stewart; https://calisphere.org/item/ark:/13030/c8np23r5/; https://calisphere.org/item/ark:/13030/c86q1wmt/
img_92d81318b1127f4b,"Eagan (Egan) Avenue with the Summit House, Beaumont — printed postcard","Eagan (Egan) Avenue, Beaumont, c. 1905-1920 — the Summit House hotel (est. 1884, burned 1925) at left. Printed postcard.",Beaumont Library District (courtesy),probable,Deep research 2026-07-21 (postcard caption + Calisphere/BLD Summit House metadata),1905,1920,1900,False,False,Reference Only,8.1 × 5.2 in at 100 PPI,file_932e28e1d506368f,Public domain,Researched,https://www.mybld.org/local-history; https://calisphere.org/item/ark:/13030/c8m043d7/; https://calisphere.org/item/ark:/13030/c88g8k2s/; https://calisphere.org/item/ark:/13030/c8pk0fhp/; https://calisphere.org/item/ark:/13030/c80z72mq/
img_7835865b7e46b59c,"Egan Avenue looking south, Beaumont — hand-colored postcard published by Robert Fulton, c. 1905–1915","Egan Avenue looking south, Beaumont, c. 1905–1915. Hand-colored postcard published by Robert Fulton; courtesy Steve Lech postcard collection.","Robert Fulton, Publisher; scan courtesy Steve Lech postcard collection",confirmed,Deep research 2026-07-21 (postcard imprint + 1915-postmarked comparison card),1905,1915,1900,False,False,Reference Only,8.1 × 5.2 in at 100 PPI,file_ecdd8fa374519f4e,Public domain,Researched,https://calisphere.org/item/ark:/13030/c80z72mq/
img_d94679a3a45f55c0,"Eucalyptus trees on Beaumont Avenue — Beaumont Land and Water Company print, c. 1905–1912","Eucalyptus rows along unpaved Beaumont Avenue, horse and buggy in the road. Print stamped by the Beaumont Land and Water Co., the town's promoter from Aug. 1907. c. 1905–1912.",Beaumont Land and Water Company print; current holder unverified,unknown,"Deep research 2026-07-21 (CDNC / LA Herald Aug. 18, 1909)",1905,1912,1900,False,False,Reference Only,9.2 × 7.2 in at 100 PPI,file_9e089b54965e6eed,Unclear,Researched,https://cdnc.ucr.edu/?a=d&d=LAH19090818.2.84; https://cdnc.ucr.edu/?a=q&hs=1&r=1&results=1&txq=%22Beaumont+Land+and+Water%22&txf=txIN&ssnip=txt&sf=byDA&e=-------en--20--1--txt-txIN--------
img_df9bd9231a83651c,"Reznor Perry Stewart (1845-1933), Beaumont pioneer rancher — halftone portrait","Reznor Perry Stewart (1845-1933), pioneer Beaumont grain rancher from 1884 and a founder of the Beaumont Bank — halftone portrait from an unidentified publication, c. 1905-1920.",Unidentified publication; Stewart family collection via Beaumont Library District,unknown,Deep research 2026-07-21 (Find a Grave + Holmes 1912 county history + Calisphere CBEA_108),1905,1920,1900,False,False,Production Ready,21.7 × 32.7 in at 100 PPI,file_08ae72570afb10b3,Unclear,Researched,https://www.findagrave.com/memorial/17589624/reznor-perry-stewart; https://archive.org/details/historyriversid00unkngoog; https://calisphere.org/item/ark:/13030/c8dn44db/; https://www.findagrave.com/memorial/72931170/reznor-p-stewart
img_6f833a14a7764e47,"Southern Pacific depot, Beaumont","The Southern Pacific depot (built 1887), looking east, c. 1905-1915.","Beaumont Library District, via Calisphere (CBEA_134, ark:/13030/c85x2881)",confirmed,Calisphere Beaumont Library District collection (CBEA_134),1905,1915,1900,True,True,Reference Only,9.2 × 7.5 in at 100 PPI,file_82c1ab228c096c21,Unclear,Researched,https://calisphere.org/item/ark:/13030/c85x2881/; https://www.mybld.org/local-history
img_934590dec97e3d15,"Southern Pacific depot, Beaumont, with arriving train (printed postcard)","'Station, Beaumont, Cal.': a train pulls up to Southern Pacific's two-story Beaumont depot, built c. 1887 at the summit of San Gorgonio Pass. Printed postcard, c. 1905-1915.",Beaumont Library District historical photo files; postcard publisher unknown,probable,Deep research 2026-07-21 (Holmes 1912; CDNC Beaumont Gazette),1905,1915,1900,False,False,Reference Only,4.8 × 3 in at 100 PPI,file_403a220bdbfaca94,Public domain,Researched,https://archive.org/details/historyriversid00unkngoog; https://cdnc.ucr.edu/?a=d&d=BMTG19390126.2.39; https://cdnc.ucr.edu/?a=d&d=SBS19391123.1.12
img_07a9db15e22db499,"SP shop crew with locomotive No. 2789, Beaumont yard","SP shop crew with locomotive No. 2789 at the Beaumont yard, c. 1905-1915.","Beaumont Library District, via Calisphere (CBEA_005, ark:/13030/c8g1605q); also cited as Banning Library District by the SGPHS timeline",confirmed,Calisphere Beaumont Library District collection (CBEA_005) + locomotive identification research (2026-07),1905,1915,1900,False,False,Reference Only,4.5 × 3 in at 100 PPI,file_6cdaa20c842dae91,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8g1605q/; https://claude.ai/code/artifact/6dd1f6b3-aefe-4db7-8c2b-66f4277eeedc; https://calisphere.org/item/ark:/13030/c86h4gq8/
img_b2764c9151e44824,"Beaumont Land and Water Company office, Beaumont, c. 1907-1915","Office of the Beaumont Land and Water Co., which bought the Beaumont townsite and promoted it heavily from 1907, c. 1907-1915. Beaumont Library District collection.",Beaumont Library District (collection),confirmed,Deep research 2026-07-21 (Chronicling America — Los Angeles Herald 1907-1910),1907,1915,1900,False,False,Reference Only,4.5 × 3.6 in at 100 PPI,file_a61d9dc24edbb4c4,Permission required,Researched,"https://www.loc.gov/collections/chronicling-america/?dl=page&ops=PHRASE&qs=beaumont+land+and+water&searchType=advanced; https://en.wikipedia.org/wiki/Beaumont,_California; https://archive.org/details/historyriversid00unkngoog"
img_157678621f95c278,"Egan Avenue looking north with the Beaumont Land & Water Company office, Beaumont","Egan Ave. looking north, Beaumont, c. 1907–1918. The octagonal office of the Beaumont Land & Water Co. (formed October 1907) stands at right.",Unknown,unknown,"Deep research 2026-07-21 (Holmes, History of Riverside County, 1912 + BLD/Calisphere metadata)",1907,1918,1900,False,False,Reference Only,4.5 × 3.5 in at 100 PPI,file_471661eae5c41d0e,Permission required,Researched,https://archive.org/details/historyriversid00unkngoog; https://calisphere.org/item/ark:/13030/c82r3r0z/; https://calisphere.org/item/ark:/13030/c89z9475/; https://calisphere.org/item/ark:/13030/c80z72mq/
img_179919b175fe6648,"Egan Avenue, Beaumont, 1907","Egan Avenue near the railroad crossing, Beaumont, 1907 — Burt Carter's livery stable and the Funk Realty Co. office.","Beaumont Library District, via Calisphere (CBEA_011, ark:/13030/c8tb167d)",confirmed,Deep research 2026-07-21 (Calisphere CBEA_011 + visual match to select 03),1907,1907,1900,False,False,Reference Only,8.6 × 6.8 in at 100 PPI,file_ba7bc8aa7a702431,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8tb167d/; https://calisphere.org/item/ark:/13030/c80z72mq/; https://calisphere.org/item/ark:/13030/c8dn44db/
img_650198dd9e4987ea,"Egan Avenue, Beaumont, 1907","Egan Avenue near the railroad crossing, Beaumont, 1907 — Burt Carter's livery stable and the Funk Realty Co. office.","Beaumont Library District, via Calisphere (CBEA_011, ark:/13030/c8tb167d)",confirmed,Calisphere Beaumont Library District collection (CBEA_011) + sign readings at high magnification (2026-07-20),1907,1907,1900,True,True,Reference Only,4.5 × 3 in at 100 PPI,file_4a86cb8481b40b1c,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8tb167d/; https://www.mybld.org/local-history; https://archive.org/details/historyriversid00unkngoog; https://calisphere.org/item/ark:/13030/c8dn44db/
img_3e252c3b2ce712aa,"Fruit Farms, Beaumont — Beaumont Land & Water Co. promotional bird's-eye lithograph, c. 1907-1915","'Fruit Farms — Beaumont': bird's-eye promotional lithograph published by the Beaumont Land & Water Co. (formed 1907) to market the replatted townsite, c. 1907-1912.",Beaumont Land & Water Co. advertisement; slide copy held by Beaumont Library District (Calisphere CBEA_069),confirmed,Deep research 2026-07-21 (cartouche on the lithograph + Holmes 1912 + Calisphere CBEA_069),1907,1915,1900,False,False,Reference Only,4.5 × 3.1 in at 100 PPI,file_24a2639d97872010,Public domain,Researched,https://calisphere.org/item/ark:/13030/c8cr5sqb/; https://archive.org/details/historyriversid00unkngoog; https://calisphere.org/item/ark:/13030/c8ht2np1/
img_c6fa941a29b0f0cd,"Hotel Edinburgh (former Hotel Beaumont), Beaumont — hand-colored postcard, c. 1907-1909","Hotel Edinburgh, Beaumont — the 1887 boom-era Hotel Beaumont, renamed at its 1907 reopening; postcard view c. 1907-1909. The hotel burned August 16, 1909.",Postcard publisher unknown; scan via ePodunk.com,unknown,Deep research 2026-07-21 (Calisphere/BLD hotel history),1907,1909,1900,False,False,Reference Only,3.6 × 2.4 in at 100 PPI,file_e7f24d3599ab24a2,Public domain,Researched,https://calisphere.org/item/ark:/13030/c81v5d9b/; https://calisphere.org/item/ark:/13030/c8z31wpb/; https://calisphere.org/item/ark:/13030/c8b56j3k/
img_2fa19df607bf43e1,"""Home of C. B. Eyer"" — the Eyer residence, Sixth Street and Magnolia Avenue, Beaumont (published halftone)","""Home of C. B. Eyer"" — the Beaumont Land & Water Co. president's residence at Sixth St. and Magnolia Ave., begun 1908; blue-ink halftone from a promotional publication, c. 1908-1915.",Beaumont Library District (Eyer House and family folder),probable,Deep research 2026-07-21 (Los Angeles Herald via Chronicling America),1908,1915,1900,False,False,Production Ready,26.6 × 20.7 in at 100 PPI,file_119299217e791778,Public domain,Researched,https://www.loc.gov/resource/sn85042462/1908-04-05/ed-1/?sp=30; https://www.loc.gov/resource/sn85042462/1909-04-11/ed-1/?sp=21; https://www.loc.gov/resource/sn85042462/1910-01-23/ed-1/?sp=26; https://www.loc.gov/collections/chronicling-america/?dl=page&ops=PHRASE&qs=home+of+c+b+eyer&searchType=advanced
img_4b0acbe1458e33c0,"Bank of Beaumont under construction, Fifth Street and California Avenue, 1908-09 (photo by Salvage)","The Bank of Beaumont building tops out at Fifth St. and California Ave., winter 1908-09; the bank opened here April 12, 1909. Photo by Salvage, Beaumont's boom-era photographer.","Beaumont Library District Local History Collection, via Calisphere; photograph by Salvage",probable,Deep research 2026-07-21 (CDNC Gateway Gazette 1908-09),1908,1909,1900,False,False,Potentially Usable,9.1 × 9.2 in at 100 PPI,file_01316d5b3080775b,Unclear,Researched,https://cdnc.ucr.edu/?a=d&d=BMTG19080827.2.14; https://cdnc.ucr.edu/?a=d&d=BMTG19090415.2.2; https://cdnc.ucr.edu/?a=q&hs=1&r=1&results=1&txq=%22Photographer+Salvage%22&txf=txIN&ssnip=txt&sf=byDA; https://cdnc.ucr.edu/?a=d&d=SBS19391123.1.12; https://cdnc.ucr.edu/?a=d&d=BMTG19090415.2.1
img_e0a4861e5d654fdb,"Beaumont Avenue under mature street trees, hand-colored postcard","Beaumont Avenue under its mature street trees, hand-colored postcard, c. 1908-1915; Beaumont's eucalyptus and pepper rows were planted along the boom-town's new streets in 1887.",Beaumont Library District historical photo files; postcard publisher unknown,probable,Deep research 2026-07-21 (Holmes 1912 History of Riverside County),1908,1915,1900,False,False,Reference Only,4.2 × 2.7 in at 100 PPI,file_15baf564413179a7,Public domain,Researched,https://archive.org/details/historyriversid00unkngoog
img_eabd3578774e347f,Engines at Beaumont,"Steam locomotives lined up before the Southern Pacific roundhouse at the Beaumont rail yard, looking east from California Street, c. 1908-1918.","Beaumont Library District Local History Collection, via Calisphere (CBEA_007)",confirmed,"Calisphere Beaumont Library District collection (CBEA_007), matched 2026-07-21 by direct image comparison",1908,1918,1900,False,False,Reference Only,4.5 × 3.5 in at 100 PPI,file_f0dccb003fc35106,Unclear,Researched,https://calisphere.org/item/ark:/13030/c86h4gq8/
img_02861b7cd39cd162,"Fifth Street at Egan Avenue with A. T. Gantt's general merchandise store, Beaumont, c. 1910","Crowd and a loaded four-horse coach at Fifth Street and Egan Avenue, Beaumont, beside A. T. Gantt's general merchandise store, c. 1910.","Unknown (print in an unidentified album, photographed in situ)",unknown,Deep research 2026-07-21 (CDNC Gateway Gazette ads/articles),1908,1913,1900,False,False,Production Ready,36.3 × 27.2 in at 100 PPI,file_bccacb5a76ec852e,Unclear,Researched,https://cdnc.ucr.edu/?a=q&hs=1&r=1&results=1&txq=%22general+merchandise%22&txf=txIN&ssnip=txt&puq=BMTG&sf=byDA&e=-------en--20--1--txt-txIN--------; https://cdnc.ucr.edu/?a=q&hs=1&r=1&results=1&txq=%22Gantt+building%22&txf=txIN&ssnip=txt&sf=byDA&e=-------en--20--1--txt-txIN--------; https://cdnc.ucr.edu/?a=d&d=BMTG19080820.2.16
img_19665af80792888c,"Gateway Gazette composing room, Beaumont (booster postcard with typesetter's note)","""A corner in the Gateway Gazette composing room, Beaumont, Cal."" — type cases of Beaumont's weekly paper. A former employee noted she set type here in 1911. c. 1908-1912.",Leslie A. Rios III Postcard Collection,confirmed,Deep research 2026-07-21 (Los Angeles Herald via Library of Congress Chronicling America; handwritten annotation on the card),1908,1912,1900,False,False,Production Ready,30.5 × 20.2 in at 100 PPI,file_1f2a8f7f00b3848c,Public domain,Researched,https://www.loc.gov/resource/sn85042462/1908-01-19/ed-1/?sp=23&q=%22gateway+gazette%22; https://www.loc.gov/resource/sn85042462/1909-07-18/ed-1/?sp=15&q=%22gateway+gazette%22
img_e6c2b250138da121,Laura May Stewart and Reznor Stewart with companions 'Frank' and 'Clara' at the Stewart Ranch barn,"Laura May Stewart and her father Reznor Stewart (right) with companions 'Frank' and 'Clara' at the Stewart Ranch barn near Beaumont, c. 1911.",Stewart family collection (via Beaumont Library District),probable,Deep research 2026-07-21 (album inscription + Find a Grave Stewart memorials),1908,1913,1900,False,False,Production Ready,29.3 × 20.3 in at 100 PPI,file_cb57134d370e82b9,Permission required,Researched,https://www.findagrave.com/memorial/17589624/reznor-perry-stewart; https://www.findagrave.com/memorial/72930222/laura-may-stewart; https://www.findagrave.com/memorial/72931170/reznor-p-stewart; https://calisphere.org/item/ark:/13030/c8np23r5/
